City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alaghsas,17.0187,8.0168,15.43,21,64,4.77,NE,1736478693
1,sitka,57.0531,-135.33,6.52,97,100,4.32,US,1736478694
2,broken hill,-31.95,141.4333,35.0,15,0,0.38,AU,1736478695
3,qina,26.1642,32.7267,13.86,47,0,2.03,EG,1736478696
4,afaahiti,-17.75,-149.2833,27.14,76,99,5.43,PF,1736478697
5,carnarvon,-24.8667,113.6333,26.66,56,85,8.15,AU,1736478698
6,sampit,-2.5333,112.95,30.06,71,97,0.86,ID,1736478701
7,adamstown,-25.066,-130.1015,23.33,83,100,12.91,PN,1736478702
8,huarmey,-10.0681,-78.1522,21.56,83,100,3.61,PE,1736478703
9,gaspe,48.8334,-64.4819,-0.27,91,100,8.39,CA,1736478704
10,blackmans bay,-43.0167,147.3167,26.96,57,19,3.95,AU,1736478705
11,sukumo,32.9333,132.7333,3.7,82,42,5.86,JP,1736478706
12,margaret river,-33.95,115.0667,21.23,60,100,5.17,AU,1736478708
13,thompson,55.7435,-97.8558,-22.43,90,92,3.85,CA,1736478709
14,swift current,50.2834,-107.8014,-14.17,98,27,2.55,CA,1736478710
15,port-aux-francais,-49.35,70.2167,4.37,92,100,23.29,TF,1736478431
16,bredasdorp,-34.5322,20.0403,18.18,86,31,2.12,ZA,1736478712
17,isangel,-19.55,169.2667,27.79,58,2,4.41,VU,1736478713
18,albany,42.6001,-73.9662,-3.53,70,64,2.68,US,1736478488
19,badger,64.8,-147.5333,-5.36,88,75,0.0,US,1736478715
20,chibougamau,49.9168,-74.3659,-11.21,92,100,4.12,CA,1736478716
21,enewetak,11.3474,162.3373,27.38,79,9,9.49,MH,1736478717
22,pangoa,-12.1167,-73.0,20.99,99,100,0.98,PE,1736478719
23,longyearbyen,78.2186,15.6401,-3.09,100,100,4.12,SJ,1736478438
24,ushuaia,-54.8,-68.3,5.13,89,26,1.45,AR,1736478721
25,mata-utu,-13.2816,-176.1745,27.5,84,100,14.1,WF,1736478722
26,purbalingga,-7.3881,109.3639,32.42,58,98,0.3,ID,1736478723
27,vadso,70.0744,29.7487,-8.91,79,50,6.69,NO,1736478724
28,salalah,17.0151,54.0924,21.05,43,0,6.17,OM,1736478725
29,lucapa,-8.4192,20.7447,18.33,98,100,1.34,AO,1736478726
30,waitangi,-43.9535,-176.5597,14.9,71,83,5.36,NZ,1736478729
31,tura,25.5198,90.2201,18.66,59,0,0.34,IN,1736478730
32,badiyah,22.45,58.8,15.33,69,9,1.13,OM,1736478731
33,bilokurakyne,49.5341,38.7307,2.54,95,25,3.1,UA,1736478732
34,sao vicente,-23.9631,-46.3919,22.21,26,85,2.41,BR,1736478528
35,byron bay,-28.65,153.6167,26.6,60,69,3.8,AU,1736478736
36,kuanda,56.3161,116.0806,-28.12,97,25,0.66,RU,1736478737
37,iqaluit,63.7506,-68.5145,-18.49,99,100,1.31,CA,1736478738
38,santa elena de uairen,4.6167,-61.1333,21.61,56,67,2.1,VE,1736478739
39,rio verde,21.9333,-99.9833,16.72,71,32,2.65,MX,1736478475
40,edinburgh of the seven seas,-37.0676,-12.3116,17.72,95,100,8.15,SH,1736478741
41,san felipe,10.3399,-68.7425,20.13,96,85,1.62,VE,1736478742
42,westport,41.1415,-73.3579,-1.13,64,0,6.69,US,1736478744
43,bilibino,68.0546,166.4372,-27.27,98,100,1.05,RU,1736478745
44,kencong,-8.2833,113.3667,29.56,68,100,1.34,ID,1736478746
45,puerto ayora,-0.7393,-90.3518,24.19,97,73,1.79,EC,1736478747
46,terbanggi besar,-4.8667,105.2333,27.08,76,100,3.18,ID,1736478748
47,bamboo flat,11.7,92.7167,28.05,78,75,2.06,IN,1736478749
48,porto novo,6.4965,2.6036,23.98,86,2,1.99,BJ,1736478750
49,lagunas,-5.2269,-75.6753,23.72,91,99,0.72,PE,1736478752
50,diawara,15.022,-12.5437,23.94,16,0,5.96,SN,1736478753
51,talnakh,69.4865,88.3972,-28.21,99,30,2.33,RU,1736478677
52,coalinga,36.1397,-120.3602,8.36,61,0,0.63,US,1736478756
53,tiksi,71.6872,128.8694,-26.3,99,95,4.44,RU,1736478757
54,ulladulla,-35.35,150.4667,21.98,84,100,3.0,AU,1736478758
55,puerto natales,-51.7236,-72.4875,7.01,83,4,1.81,CL,1736478759
56,luang namtha,20.9497,101.4011,18.63,72,100,0.79,LA,1736478760
57,lebu,-37.6167,-73.65,12.94,83,0,7.71,CL,1736478762
58,lavrio,37.7145,24.0565,10.52,88,0,1.35,GR,1736478763
59,san angelo,31.4638,-100.437,1.44,91,99,1.34,US,1736478150
60,hermanus,-34.4187,19.2345,17.67,83,64,3.01,ZA,1736478765
61,ungsang-nodongjagu,42.3578,130.4622,-8.24,34,5,3.75,KP,1736478766
62,anadyr,64.75,177.4833,-28.72,75,40,8.0,RU,1736478767
63,la passe,45.5549,-0.8967,9.49,92,100,5.38,FR,1736478768
64,tyukhtet,56.5389,89.3011,-18.9,99,69,2.4,RU,1736478769
65,flying fish cove,-10.4217,105.6791,26.82,89,40,3.09,CX,1736478771
66,opuwo,-18.0607,13.84,20.64,45,89,2.13,NA,1736478773
67,rokiskis,55.9667,25.5833,2.96,99,100,4.82,LT,1736478774
68,invercargill,-46.4,168.35,18.34,68,82,4.02,NZ,1736478775
69,port macquarie,-31.4333,152.9167,23.93,86,100,1.79,AU,1736478776
70,as sanad,34.4628,9.264,9.15,48,0,1.9,TN,1736478777
71,whitehorse,60.7161,-135.0538,-3.63,95,100,3.11,CA,1736478521
72,ghadamis,30.1337,9.5007,10.06,43,1,2.39,LY,1736478779
73,diffa,13.3154,12.6113,15.44,26,0,4.05,NE,1736478781
74,gadzhiyevo,69.2551,33.3362,-9.14,99,100,4.55,RU,1736478782
75,yellowknife,62.456,-114.3525,-21.36,84,100,7.2,CA,1736478783
76,pisco,-13.7,-76.2167,20.03,83,0,3.09,PE,1736478784
77,puerto baquerizo moreno,-0.9,-89.6,23.87,89,92,3.01,EC,1736478785
78,papatowai,-46.5619,169.4708,16.72,64,75,4.46,NZ,1736478786
79,jamestown,42.097,-79.2353,-8.2,86,100,2.06,US,1736478488
80,prachatice,49.0129,13.9975,-2.58,78,28,7.65,CZ,1736478789
81,mount gambier,-37.8333,140.7667,31.51,25,85,3.67,AU,1736478791
82,kalimpong,27.0667,88.4833,17.2,50,3,1.55,IN,1736478792
83,saint-pierre,-21.3393,55.4781,25.82,61,0,3.09,RE,1736478793
84,codrington,-38.2667,141.9667,26.97,43,44,7.29,AU,1736478794
85,las palmas de gran canaria,28.0997,-15.4134,18.07,45,0,4.12,ES,1736478796
86,kukuna,9.4,-12.6667,22.25,91,98,0.73,SL,1736478797
87,hithadhoo,-0.6,73.0833,27.71,74,63,1.29,MV,1736478798
88,muroto-misakicho,33.2833,134.15,6.66,52,36,8.54,JP,1736478799
89,bethel,41.3712,-73.414,-2.1,69,0,4.02,US,1736478800
90,saipan,15.1355,145.701,31.39,77,40,6.17,MP,1736478801
91,picota,-6.9197,-76.3304,22.89,97,99,0.61,PE,1736478802
92,barranca,-10.75,-77.7667,20.82,83,99,3.3,PE,1736478803
93,college,64.8569,-147.8028,-5.31,79,75,0.0,US,1736478507
94,wakkanai,45.4094,141.6739,-0.01,93,75,11.83,JP,1736478806
95,zeya,53.75,127.2667,-13.86,69,7,0.62,RU,1736478807
96,inebolu,41.9747,33.7608,11.6,60,11,2.34,TR,1736478808
97,mili,6.0815,171.735,27.77,76,91,9.2,MH,1736478809
98,weno,7.4515,151.8468,30.97,74,20,3.6,FM,1736478810
99,colonia,50.9333,6.95,1.65,87,100,5.66,DE,1736478813
100,sakaiminato,35.55,133.2333,5.36,58,100,9.11,JP,1736478814
101,emerald,-23.5333,148.1667,32.97,48,7,3.62,AU,1736478815
102,hamilton,39.1834,-84.5333,-7.23,79,0,2.57,US,1736478349
103,wanda,-25.9693,-54.5697,22.13,46,49,0.41,AR,1736478817
104,amga,60.8953,131.9608,-27.87,96,95,0.41,RU,1736478819
105,namibe,-15.1961,12.1522,19.89,85,8,1.54,AO,1736478820
106,hobyo,5.3505,48.5268,23.98,74,39,8.47,SO,1736478821
107,funafuti,-8.5243,179.1942,30.0,70,75,9.26,TV,1736478677
108,catio,11.2833,-15.25,21.48,86,0,2.05,GW,1736478823
109,kolwezi,-10.7148,25.4667,16.05,99,100,1.66,CD,1736478824
110,tindouf,27.6711,-8.1474,10.92,32,25,2.6,DZ,1736478826
111,belyy yar,53.6039,91.3903,-14.06,85,100,1.0,RU,1736478827
112,tazacorte,28.629,-17.9293,16.54,43,0,4.47,ES,1736478828
113,hawaiian paradise park,19.5933,-154.9731,24.37,88,0,2.57,US,1736478829
114,mindelo,16.8901,-24.9804,21.75,78,20,7.72,CV,1736478830
115,bela,25.9333,81.9833,12.64,52,11,0.93,IN,1736478831
116,camabatela,-8.1881,15.375,17.25,99,100,0.95,AO,1736478832
117,cabedelo,-6.9811,-34.8339,27.37,85,9,4.65,BR,1736478628
118,georgetown,5.4112,100.3354,29.96,51,20,4.63,MY,1736478542
